address_id,polling_place_county,polling_place_name_raw,polling_place_name,polling_place_address_raw,polling_place_address_full,polling_place_address_line_1,polling_place_address_city,polling_place_address_state,polling_place_address_zip,hours_raw,image_url,hours_advanced_polling,Latitude,Longitude,status,date_added
83 S OAK ST_BAXLEY_GA_31513,APPLING,APPLING COUNTY ELECTIONS OFFICE,APPLING COUNTY ELECTIONS OFFICE,"83 S OAK ST, BAXLEY GA 31513","83 S Oak St, Baxley, GA 31513",83 S Oak St,Baxley,GA,31513,04/27/2026 - 05/02/2026 9:00 AM - 5:00 PM (Advanced Polling Location) | 04/27/2026 - 05/02/2026 9:00 AM - 5:00 PM (Dropbox Polling Location) | 05/04/2026 - 05/09/2026 9:00 AM - 5:00 PM (Advanced Polling Location) | 05/04/2026 - 05/09/2026 9:00 AM - 5:00 PM (Dropbox Polling Location) | 05/11/2026 - 05/15/2026 9:00 AM - 5:00 PM (Advanced Polling Location) | 05/11/2026 - 05/15/2026 9:00 AM - 5:00 PM (Dropbox Polling Location),https://storage.googleapis.com/ml-data-332522-polling-images-public/images/83%20Oak%20St%2C%20Baxley%2C%20GA%2031513/street_view/dba85eaf52205e7d5b8a73bb1c6d3d96fb8ee241d8941a08811a3f7465e0ec8a.jpg,"05/11/2026 - 05/15/2026 9:00 AM - 5:00 PM (Advanced Polling Location) 
05/04/2026 - 05/09/2026 9:00 AM - 5:00 PM (Advanced Polling Location) 
04/27/2026 - 05/02/2026 9:00 AM - 5:00 PM (Advanced Polling Location)",31.7760832,-82.3448333,,
664 AUSTIN AVE E_PEARSON_GA_31642,ATKINSON,ATKINSON COUNTY BOARD OF ELECTION,ATKINSON COUNTY BOARD OF ELECTION,"664 AUSTIN AVE E, PEARSON GA 31642","664 Austin Ave E, Pearson, GA 31642",664 Austin Ave E,Pearson,GA,31642,04/27/2026 - 05/01/2026 8:00 AM - 5:00 PM (Advanced Polling Location) | 04/27/2026 - 05/01/2026 8:00 AM - 5:00 PM (Dropbox Polling Location) | 05/02/2026 - 05/02/2026 9:00 AM - 5:00 PM (Advanced Polling Location) | 05/02/2026 - 05/02/2026 9:00 AM - 5:00 PM (Dropbox Polling Location) | 05/04/2026 - 05/08/2026 8:00 AM - 5:00 PM (Advanced Polling Location) | 05/04/2026 - 05/08/2026 8:00 AM - 5:00 PM (Dropbox Polling Location) | 05/09/2026 - 05/09/2026 9:00 AM - 5:00 PM (Advanced Polling Location) | 05/09/2026 - 05/09/2026 9:00 AM - 5:00 PM (Dropbox Polling Location) | 05/11/2026 - 05/15/2026 8:00 AM - 5:00 PM (Advanced Polling Location) | 05/11/2026 - 05/15/2026 8:00 AM - 5:00 PM (Dropbox Polling Location) | 05/18/2026 - 05/18/2026 8:00 AM - 5:00 PM (Dropbox Polling Location) | 05/19/2026 - 05/19/2026 8:00 AM - 5:00 PM (Dropbox Polling Location),https://storage.googleapis.com/ml-data-332522-polling-images-public/images/664%20E%20Austin%20Ave%2C%20Pearson%2C%20GA%2031642/places_api/96ff15e812475bc32fbb8b4cdd324b74bfbeb30b093f7abb8ce13d3eb12fd6c3.jpg,"05/11/2026 - 05/15/2026 8:00 AM - 5:00 PM (Advanced Polling Location) 
05/09/2026 - 05/09/2026 9:00 AM - 5:00 PM (Advanced Polling Location) 
05/04/2026 - 05/08/2026 8:00 AM - 5:00 PM (Advanced Polling Location) 
05/02/2026 - 05/02/2026 9:00 AM - 5:00 PM (Advanced Polling Location) 
04/27/2026 - 05/01/2026 8:00 AM - 5:00 PM (Advanced Polling Location)",31.2931584,-82.842988,,
232 W 12TH ST_ALMA_GA_31510,BACON,BACON COUNTY ELECTIONS OFFICE,BACON COUNTY ELECTIONS OFFICE,"232 WEST 12TH STREET, ALMA GA 31510","232 W 12th St, Alma, GA 31510",232 W 12th St,Alma,GA,31510,04/27/2026 - 05/02/2026 9:00 AM - 5:00 PM (Advanced Polling Location) | 04/27/2026 - 05/02/2026 9:00 AM - 5:00 PM (Dropbox Polling Location) | 05/04/2026 - 05/09/2026 9:00 AM - 5:00 PM (Advanced Polling Location) | 05/04/2026 - 05/09/2026 9:00 AM - 5:00 PM (Dropbox Polling Location) | 05/11/2026 - 05/15/2026 9:00 AM - 5:00 PM (Advanced Polling Location) | 05/11/2026 - 05/15/2026 9:00 AM - 5:00 PM (Dropbox Polling Location),https://storage.googleapis.com/movement_labs_public2/images/232%20WEST%2012TH%20STREET%2C%20ALMA%2C%20GA%2031510/3/polling_street.jpg,"05/11/2026 - 05/15/2026 9:00 AM - 5:00 PM (Advanced Polling Location) 
05/04/2026 - 05/09/2026 9:00 AM - 5:00 PM (Advanced Polling Location) 
04/27/2026 - 05/02/2026 9:00 AM - 5:00 PM (Advanced Polling Location)",31.5414452,-82.4650509,,
439 GA HWY 91 NW_NEWTON_GA_39870,BAKER,BAKER COUNTY BOARD OF COMMISSIONS,BAKER COUNTY BOARD OF COMMISSIONS,"439 GA HWY 91 NW, NEWTON GA 39870","439 Ga Hwy 91 NW, Newton, GA 39870",439 Ga Hwy 91 NW,Newton,GA,39870,04/27/2026 - 05/02/2026 9:00 AM - 5:00 PM (Advanced Polling Location) | 04/27/2026 - 05/02/2026 9:00 AM - 5:00 PM (Dropbox Polling Location) | 05/04/2026 - 05/09/2026 9:00 AM - 5:00 PM (Advanced Polling Location) | 05/04/2026 - 05/09/2026 9:00 AM - 5:00 PM (Dropbox Polling Location) | 05/11/2026 - 05/15/2026 9:00 AM - 5:00 PM (Advanced Polling Location) | 05/11/2026 - 05/15/2026 9:00 AM - 5:00 PM (Dropbox Polling Location) | 05/18/2026 - 05/19/2026 9:00 AM - 5:00 PM (Dropbox Polling Location),https://storage.googleapis.com/ml-data-332522-polling-images-public/images/439%20GA-91%2C%20Newton%2C%20GA%2039870/street_view/e548d4f481bd5e6776f3f699fa1b834f3f1b69a8f0f6f9217e3bbe96d0bd0fdf.jpg,"05/11/2026 - 05/15/2026 9:00 AM - 5:00 PM (Advanced Polling Location) 
05/04/2026 - 05/09/2026 9:00 AM - 5:00 PM (Advanced Polling Location) 
04/27/2026 - 05/02/2026 9:00 AM - 5:00 PM (Advanced Polling Location)",31.326436,-84.339978,,
"1601 N COLUMBIA ST, STE 110_MILLEDGEVILLE_GA_31061",BALDWIN,REGISTRATION & ELECTIONS OFFICE,REGISTRATION & ELECTIONS OFFICE,"1601 N COLUMBIA ST  SUITE 110, MILLEDGEVILLE GA 31061","1601 N Columbia St, Ste 110, Milledgeville, GA 31061","1601 N Columbia St, Ste 110",Milledgeville,GA,31061,04/27/2026 - 05/01/2026 8:30 AM - 8:30 PM (Advanced Polling Location) | 04/27/2026 - 05/01/2026 8:30 AM - 5:00 PM (Dropbox Polling Location) | 05/02/2026 - 05/02/2026 9:00 AM - 4:00 PM (Advanced Polling Location) | 05/02/2026 - 05/02/2026 9:00 AM - 4:00 PM (Dropbox Polling Location) | 05/04/2026 - 05/08/2026 8:30 AM - 5:00 PM (Advanced Polling Location) | 05/04/2026 - 05/08/2026 8:30 AM - 5:00 PM (Dropbox Polling Location) | 05/09/2026 - 05/09/2026 9:00 AM - 4:00 PM (Advanced Polling Location) | 05/09/2026 - 05/09/2026 9:00 AM - 4:00 PM (Dropbox Polling Location) | 05/11/2026 - 05/15/2026 8:30 AM - 4:00 PM (Advanced Polling Location) | 05/11/2026 - 05/15/2026 8:30 AM - 4:00 PM (Dropbox Polling Location),https://storage.googleapis.com/ml-data-332522-polling-images-public/images/1601%20N%20Columbia%20St%20%23110%2C%20Milledgeville%2C%20GA%2031061/places_api/fd5ba913cf35b8b83646df9c2508e3685824331c810be77081d8095e608f29c9.jpg,"04/27/2026 - 05/01/2026 8:30 AM - 8:30 PM (Advanced Polling Location) 
05/02/2026 - 05/02/2026 9:00 AM - 4:00 PM (Advanced Polling Location) 
05/09/2026 - 05/09/2026 9:00 AM - 4:00 PM (Advanced Polling Location) 
05/04/2026 - 05/08/2026 8:30 AM - 5:00 PM (Advanced Polling Location) 
05/11/2026 - 05/15/2026 8:30 AM - 4:00 PM (Advanced Polling Location)",33.0987264,-83.2427837,,
226 CANDLER ST_HOMER_GA_30547,BANKS,ELECTIONS & REGISTRATION OFFICE,ELECTIONS & REGISTRATION OFFICE,"226 CANDLER STREET, HOMER GA 30547","226 Candler St, Homer, GA 30547",226 Candler St,Homer,GA,30547,04/27/2026 - 05/01/2026 8:00 AM - 5:00 PM (Advanced Polling Location) | 04/27/2026 - 05/01/2026 8:00 AM - 5:00 PM (Dropbox Polling Location) | 05/02/2026 - 05/02/2026 9:00 AM - 5:00 PM (Advanced Polling Location) | 05/02/2026 - 05/02/2026 9:00 AM - 5:00 PM (Dropbox Polling Location) | 05/04/2026 - 05/08/2026 8:00 AM - 5:00 PM (Advanced Polling Location) | 05/04/2026 - 05/08/2026 8:00 AM - 5:00 PM (Dropbox Polling Location) | 05/09/2026 - 05/09/2026 9:00 AM - 5:00 PM (Advanced Polling Location) | 05/09/2026 - 05/09/2026 9:00 AM - 5:00 PM (Dropbox Polling Location) | 05/11/2026 - 05/15/2026 8:00 AM - 5:00 PM (Advanced Polling Location) | 05/11/2026 - 05/15/2026 8:00 AM - 5:00 PM (Dropbox Polling Location),https://storage.googleapis.com/ml-data-332522-polling-images-public/images/226%20Candler%20St%2C%20Homer%2C%20GA%2030547/street_view/af26e994d653dfdb46dbc2682d558c8304cf9de01f77d439e8df183f0af6d16a.jpg,"05/11/2026 - 05/15/2026 8:00 AM - 5:00 PM (Advanced Polling Location) 
05/09/2026 - 05/09/2026 9:00 AM - 5:00 PM (Advanced Polling Location) 
05/04/2026 - 05/08/2026 8:00 AM - 5:00 PM (Advanced Polling Location) 
05/02/2026 - 05/02/2026 9:00 AM - 5:00 PM (Advanced Polling Location) 
04/27/2026 - 05/01/2026 8:00 AM - 5:00 PM (Advanced Polling Location)",34.335437,-83.4974345,,
233 E BROAD ST_WINDER_GA_30680,BARROW,BARROW COUNTY ELECTIONS OFFICE,BARROW COUNTY ELECTIONS OFFICE,"233 E. BROAD ST, WINDER GA 30680","233 E Broad St, Winder, GA 30680",233 E Broad St,Winder,GA,30680,04/27/2026 - 05/01/2026 8:00 AM - 5:00 PM (Advanced Polling Location) | 04/27/2026 - 05/01/2026 8:00 AM - 5:00 PM (Dropbox Polling Location) | 05/02/2026 - 05/02/2026 9:00 AM - 5:00 PM (Advanced Polling Location) | 05/02/2026 - 05/02/2026 9:00 AM - 5:00 PM (Dropbox Polling Location) | 05/04/2026 - 05/08/2026 8:00 AM - 5:00 PM (Advanced Polling Location) | 05/04/2026 - 05/08/2026 8:00 AM - 5:00 PM (Dropbox Polling Location) | 05/09/2026 - 05/09/2026 9:00 AM - 5:00 PM (Advanced Polling Location) | 05/09/2026 - 05/09/2026 9:00 AM - 5:00 PM (Dropbox Polling Location) | 05/11/2026 - 05/15/2026 8:00 AM - 5:00 PM (Advanced Polling Location) | 05/11/2026 - 05/15/2026 8:00 AM - 5:00 PM (Dropbox Polling Location),https://storage.googleapis.com/mlabs-ops-public/PollingCorrections2025/2025%20Georgia%20Archive/233%20E.%20BROAD%20ST%2C%20WINDER%2C%20GA%2C%2030680.png,"05/11/2026 - 05/15/2026 8:00 AM - 5:00 PM (Advanced Polling Location) 
05/09/2026 - 05/09/2026 9:00 AM - 5:00 PM (Advanced Polling Location) 
05/04/2026 - 05/08/2026 8:00 AM - 5:00 PM (Advanced Polling Location) 
05/02/2026 - 05/02/2026 9:00 AM - 5:00 PM (Advanced Polling Location) 
04/27/2026 - 05/01/2026 8:00 AM - 5:00 PM (Advanced Polling Location)",33.9977319,-83.7093691,,
6503 ALLATOONA GTWY_ACWORTH_GA_30102,BARTOW,ALLATOONA RESOURCE CENTER,ALLATOONA RESOURCE CENTER,"6503 ALLATOONA GTWY, ACWORTH GA 30102","6503 Allatoona Gtwy, Acworth, GA 30102",6503 Allatoona Gtwy,Acworth,GA,30102,05/11/2026 - 05/15/2026 8:00 AM - 6:00 PM (Advanced Polling Location),https://storage.googleapis.com/ml-data-332522-polling-images-public/images/6503%20Allatoona%20Gtwy%2C%20Acworth%2C%20GA%2030102/street_view/88f5397d570cf45727529cfffc8cd27de92ec9bd56b670d682ebbfe06d063288.jpg,05/11/2026 - 05/15/2026 8:00 AM - 6:00 PM (Advanced Polling Location),34.1138337,-84.6810771,,
435 W MAIN ST_CARTERSVILLE_GA_30120,BARTOW,CARTERSVILLE CIVIC CENTER,CARTERSVILLE CIVIC CENTER,"435 WEST MAIN STREET, CARTERSVILLE GA 30120","435 W Main St, Cartersville, GA 30120",435 W Main St,Cartersville,GA,30120,05/11/2026 - 05/15/2026 8:00 AM - 6:00 PM (Advanced Polling Location),https://storage.googleapis.com/movement_labs_public2/images/435%20WEST%20MAIN%20STREET%2C%20CARTERSVILLE%2C%20GA%2030120/9/polling_street.jpg,05/11/2026 - 05/15/2026 8:00 AM - 6:00 PM (Advanced Polling Location),34.1635222,-84.8064534,,
163B MANNING MILL RD_ADAIRSVILLE_GA_30103,BARTOW,MANNING MILL PARK FACILITY,MANNING MILL PARK FACILITY,"163B MANNING MILL RD, ADAIRSVILLE GA 30103","163B Manning Mill Rd, Adairsville, GA 30103",163B Manning Mill Rd,Adairsville,GA,30103,05/11/2026 - 05/15/2026 8:00 AM - 6:00 PM (Advanced Polling Location),https://storage.googleapis.com/ml-data-332522-polling-images-public/images/83VX%2B96%2C%20163%20Manning%20Mill%20Rd%2C%20Adairsville%2C%20GA%2030103/street_view/3f557f7c26d87de345783d3c06bbbc9dee306b0d24f2c6d6327a8ef5762f1aad.jpg,05/11/2026 - 05/15/2026 8:00 AM - 6:00 PM (Advanced Polling Location),34.3435945,-84.9041738,,
